"","sex","age","total_deaths","covid_deaths"
"5","Female","1",2295,55
"6","Male","1",2850,73
"7","Female","2",1434,26
"8","Male","2",1908,29
"9","Female","3",1122,18
"10","Male","3",1509,30
"11","Female","4",914,29
"12","Male","4",1199,14
"13","Female","5",820,19
"14","Male","5",1127,22
"15","Female","6",753,21
"16","Male","6",979,23
"17","Female","7",723,20
"18","Male","7",867,18
"19","Female","8",692,17
"20","Male","8",827,22
"21","Female","9",663,25
"22","Male","9",846,33
"23","Female","10",702,22
"24","Male","10",941,23
"25","Female","11",759,22
"26","Male","11",1079,19
"27","Female","12",948,23
"28","Male","12",1190,31
"29","Female","13",1127,37
"30","Male","13",1729,36
"31","Female","14",1343,37
"32","Male","14",2380,29
"33","Female","15",1588,56
"34","Male","15",3310,59
"35","Female","16",1975,43
"36","Male","16",4541,64
"37","Female","17",2332,69
"38","Male","17",6093,89
"39","Female","18",2973,72
"40","Male","18",8283,120
"41","Female","19",3236,108
"42","Male","19",9654,157
"43","Female","20",3626,130
"44","Male","20",10175,179
"45","Female","21",4018,127
"46","Male","21",11416,216
"47","Female","22",4192,204
"48","Male","22",12074,241
"49","Female","23",4601,194
"50","Male","23",12466,293
"51","Female","24",4808,214
"52","Male","24",13145,367
"53","Female","25",5295,262
"54","Male","25",14052,365
"55","Female","26",5669,286
"56","Male","26",14931,441
"57","Female","27",6189,339
"58","Male","27",16090,528
"59","Female","28",6705,355
"60","Male","28",17178,626
"61","Female","29",7540,418
"62","Male","29",18526,733
"63","Female","30",8115,552
"64","Male","30",19550,782
"65","Female","31",8589,574
"66","Male","31",20382,896
"67","Female","32",9158,634
"68","Male","32",20906,955
"69","Female","33",9781,642
"70","Male","33",21281,1052
"71","Female","34",10013,692
"72","Male","34",21387,1174
"73","Female","35",10430,748
"74","Male","35",21965,1213
"75","Female","36",10943,805
"76","Male","36",22723,1320
"77","Female","37",11672,844
"78","Male","37",23639,1498
"79","Female","38",12350,1012
"80","Male","38",24054,1555
"81","Female","39",13121,1065
"82","Male","39",25602,1742
"83","Female","40",13928,1215
"84","Male","40",26441,1808
"85","Female","41",14582,1242
"86","Male","41",27117,2069
"87","Female","42",15094,1415
"88","Male","42",27367,2220
"89","Female","43",15561,1505
"90","Male","43",28032,2368
"91","Female","44",16130,1592
"92","Male","44",28728,2718
"93","Female","45",16839,1662
"94","Male","45",29551,2892
"95","Female","46",17963,1868
"96","Male","46",30728,3142
"97","Female","47",19200,1946
"98","Male","47",32783,3412
"99","Female","48",21004,2282
"100","Male","48",35747,3908
"101","Female","49",23397,2532
"102","Male","49",39448,4281
"103","Female","50",26130,2792
"104","Male","50",43850,4914
"105","Female","51",28093,2878
"106","Male","51",46971,5205
"107","Female","52",30039,3080
"108","Male","52",50265,5620
"109","Female","53",31662,3241
"110","Male","53",52965,5703
"111","Female","54",34216,3586
"112","Male","54",57256,6189
"113","Female","55",38176,3968
"114","Male","55",62992,6762
"115","Female","56",42297,4480
"116","Male","56",69771,7611
"117","Female","57",47507,4829
"118","Male","57",76340,7975
"119","Female","58",51364,5403
"120","Male","58",83862,8569
"121","Female","59",56945,5898
"122","Male","59",90290,9490
"123","Female","60",61201,6329
"124","Male","60",97372,10220
"125","Female","61",65742,6820
"126","Male","61",103045,10719
"127","Female","62",70126,7393
"128","Male","62",108616,11485
"129","Female","63",74755,7939
"130","Male","63",114770,12050
"131","Female","64",78361,8409
"132","Male","64",119671,12539
"133","Female","65",81716,8760
"134","Male","65",122686,13110
"135","Female","66",84543,8873
"136","Male","66",125144,13374
"137","Female","67",87240,9062
"138","Male","67",127649,13577
"139","Female","68",90663,9611
"140","Male","68",130731,14272
"141","Female","69",94521,10029
"142","Male","69",132528,14560
"143","Female","70",99052,10219
"144","Male","70",136111,15142
"145","Female","71",104018,10906
"146","Male","71",139235,15477
"147","Female","72",110807,11536
"148","Male","72",144271,16435
"149","Female","73",119610,12235
"150","Male","73",153025,17568
"151","Female","74",122685,12727
"152","Male","74",152678,17478
"153","Female","75",122649,11962
"154","Male","75",150116,16577
"155","Female","76",122631,12036
"156","Male","76",145521,16292
"157","Female","77",127269,12789
"158","Male","77",148211,17116
"159","Female","78",134577,13303
"160","Male","78",153307,17619
"161","Female","79",137890,13106
"162","Male","79",153611,17263
"163","Female","80",139660,13046
"164","Male","80",150075,16872
"165","Female","81",139910,13151
"166","Male","81",146455,16273
"167","Female","82",143661,13608
"168","Male","82",144905,16193
"169","Female","83",147444,13769
"170","Male","83",144727,16274
"171","Female","84",151688,13944
"172","Male","84",142873,15661
"173","Female","85+",2001397,171942
"174","Male","85+",1302470,135747
